timestamp,git_sha,machine,events,graph_calls,state_calls,timeline_calls,graph_bytes,state_bytes,timeline_bytes
2026-09-13T20:21:43+00:00,4b2852e,machine-ede6a86d2a83,20000,22,54,18,63776,144,63712
2026-09-13T20:22:36+00:00,21da8c2,machine-ede6a86d2a83,20000,22,54,18,63776,144,63712
2026-09-13T20:27:36+00:00,1cbae5e,machine-ede6a86d2a83,20000,22,54,18,63776,144,63712
