timestamp,git_sha,machine,records,cols,shards,packs_ref_pre,packs_ref_post,segments_pre,segments_post,written,bytes,write_ms,fsync_ms
2026-09-13T20:21:43+00:00,4b2852e,machine-ede6a86d2a83,50000,500,3,3,3,5601,3,50000,795747600,1389.53,0.004
2026-09-13T20:22:36+00:00,21da8c2,machine-ede6a86d2a83,50000,500,3,3,3,5601,3,50000,795747600,1381.989,0.004
2026-09-13T20:27:36+00:00,1cbae5e,machine-ede6a86d2a83,50000,500,3,3,3,5601,3,50000,795747600,1390.84,0.004
